,Date,Data_Value,StockPrice,daily_return,log_return,price_change,volatility_7d,MA_7,MA_30,MA_50,price_to_MA7_ratio,day_of_week,day_of_month,month,RSI_14,MACD,MACD_signal,bollinger_upper,bollinger_lower,momentum_5d,momentum_20d,price_lag_1,price_lag_2,price_lag_3,price_lag_4,price_lag_5,rolling_max_20d,rolling_min_20d
0,2025-01-14,2.761,5882.25,-0.01782434463182503,-0.017985111503576866,-106.75,0.007180308618075196,6033.857142857143,6067.1,5940.145,0.9748739257049506,1,14,1,35.68316831683168,3.1643305326742848,33.14155929782019,6185.777072882641,5939.847927117359,-0.03892655828772159,-0.03136964307768309,5989.0,5975.5,6033.5,6084.25,6120.5,6152.0,5882.25
1,2025-01-13,2.785,5874.5,-0.0013175230566534468,-0.0013183917532582244,-7.75,0.006417682713042185,5994.214285714285,6063.891666666666,5942.445,0.9800283606811331,0,13,1,37.651483493522775,-9.330513667741798,24.64714470470779,6199.926164646911,5903.923835353089,-0.03447425730369397,-0.0357421313964463,5882.25,5989.0,5975.5,6033.5,6084.25,6152.0,5874.5
2,2025-01-10,2.766,5866.25,-0.0014043748404120038,-0.0014053618989999263,-8.25,0.0067033872740100905,5957.892857142857,6060.433333333333,5943.24,0.9846182435065131,4,10,1,32.101513802315225,-19.671710535102648,15.783373656745706,6209.191429960703,5872.408570039297,-0.027720228722963453,-0.03654280435228906,5874.5,5882.25,5989.0,5975.5,6033.5,6152.0,5866.25
3,2025-01-09,2.789,5944.75,0.013381632218197215,0.013292888987379093,78.5,0.009940837147340396,5937.964285714285,6058.566666666667,5945.825,1.0011427677835718,3,9,1,37.294407894736835,-21.287500553289647,8.369198814738636,6209.247474579659,5861.877525420341,-0.005146012885950966,-0.01731548061823291,5866.25,5874.5,5882.25,5989.0,5975.5,6152.0,5866.25
4,2025-01-08,2.782,5959.25,0.00243912696076376,0.002436157118832433,14.5,0.009858182089364984,5927.357142857143,6056.241666666667,5950.645,1.005380620127014,2,8,1,40.83791790097334,-21.15414514812801,2.464530022165307,6201.779852545544,5854.670147454457,-0.004967440307229921,-0.02403373730756633,5944.75,5866.25,5874.5,5882.25,5989.0,6152.0,5866.25
5,2025-01-07,2.785,5954.25,-0.0008390317573520045,-0.0008393839415065004,-5.0,0.00922569044500323,5924.321428571428,6050.166666666667,5955.475,1.0050518142523859,1,7,1,37.395143487858725,-21.20745193726725,-2.269866369721205,6195.894748016499,5847.3302519835015,0.012240214203748566,-0.02172841534543662,5959.25,5944.75,5866.25,5874.5,5882.25,6152.0,5866.25
6,2025-01-06,2.757,6020.5,0.011126506277028936,0.011065062058941168,66.25,0.010218582275887567,5928.821428571428,6045.416666666667,5961.31,1.0154632033588946,0,6,1,47.74581365392873,-15.722635866794917,-4.960420269135948,6192.677954565579,5846.297045434421,0.024853178993956934,-0.007009731156193304,5954.25,5959.25,5944.75,5866.25,5874.5,6152.0,5866.25
7,2025-01-03,2.731,5989.5,-0.0051490739971763455,-0.0051623761608880344,-31.0,0.006978869014989645,5944.142857142857,6040.175,5967.735,1.0076305606960032,4,3,1,36.355007119126725,-13.719174434182605,-6.71217110214528,6191.549028873449,5844.150971126552,0.02101001491583209,-0.005438166798123625,6020.5,5954.25,5959.25,5944.75,5866.25,6152.0,5866.25
8,2025-01-02,2.736,5916.5,-0.012187995659070028,-0.012262878346772166,-73.0,0.008933086529772103,5950.142857142857,6032.991666666667,5971.455,0.9943458740486424,3,2,1,29.73321858864027,-17.81652887376913,-8.93304265647005,6188.022559173866,5832.602440826134,-0.004752092182177552,-0.024846512011207713,5989.5,6020.5,5954.25,5959.25,5944.75,6152.0,5866.25
9,2024-12-31,2.714,5935.75,0.003253612777824655,0.0032483312327382737,19.25,0.008892977279201441,5960.071428571428,6026.341666666666,5976.365,0.9959192723001882,1,31,12,33.75824175824175,-19.288056951807448,-11.00404551553753,6177.650093265375,5826.624906734624,-0.003943449259554474,-0.026806574578841662,5916.5,5989.5,6020.5,5954.25,5959.25,6152.0,5866.25
10,2024-12-30,2.678,5958.75,0.003874826264583353,0.00386733846168366,23.0,0.007418526278219724,5962.071428571428,6022.541666666667,5983.985,0.9994429069474895,0,30,12,38.703870387038705,-18.386398814066524,-12.480516175243329,6170.415481235994,5822.984518764006,0.0007557626905151782,-0.01792336217552534,5935.75,5916.5,5989.5,6020.5,5954.25,6152.0,5866.25
11,2024-12-27,2.683,6027.0,0.011453744493391982,0.01138864696400859,68.25,0.008537678939252873,5971.75,6020.366666666667,5991.425,1.0092518943358313,4,27,12,49.432809773123914,-12.02599544331133,-12.38961202885693,6161.131110562448,5825.2688894375515,0.0010796445477950336,-0.011481056257175661,5958.75,5935.75,5916.5,5989.5,6020.5,6152.0,5866.25
12,2024-12-24,2.715,6098.0,0.011780321884851563,0.011711474065156047,71.0,0.00922941821786307,5992.285714285715,6020.675,6000.84,1.0176417298431315,1,24,12,60.45221843003413,-1.2419073842493162,-10.160071099935408,6168.625807345185,5822.899192654814,0.018115034643960262,0.008475627403150453,6027.0,5958.75,5935.75,5916.5,5989.5,6152.0,5866.25
13,2024-12-23,2.731,6036.0,-0.010167267956707082,-0.010219307660460539,-62.0,0.009770969268145952,5994.5,6020.225,6009.145,1.0069230127616982,0,23,12,53.70370370370371,2.2754483017306484,-7.672967219602197,6152.589468458916,5829.210531541084,0.020197752049353503,-0.015856193698283946,6098.0,6027.0,5958.75,5935.75,5916.5,6152.0,5866.25
14,2024-12-20,2.772,6001.75,-0.0056742876076871784,-0.005690447537334156,-34.25,0.009822636374061462,5996.25,6016.75,6013.66,1.0009172399416302,4,20,12,60.63167259786477,2.2730865365965656,-5.683756468362445,6126.449731122279,5840.32526887772,0.011119066672282357,-0.02442295188556567,6036.0,6098.0,6027.0,5958.75,5935.75,6120.5,5866.25
15,2024-12-19,2.839,5934.0,-0.011288374224184605,-0.011352571499638206,-67.75,0.009635611028272087,5998.75,6011.666666666667,6017.415,0.9892060846009585,3,19,12,54.78295819935691,-3.159226373826641,-5.178850449455284,6103.121837128317,5845.003162871683,-0.004153555695405916,-0.03047136671840536,6001.75,6036.0,6098.0,6027.0,5958.75,6098.0,5866.25
16,2024-12-18,2.852,5940.25,0.0010532524435455937,0.0010526981623552138,6.25,0.00956498759652621,5999.392857142857,6007.575,6019.195,0.990141859592935,2,18,12,55.96774193548387,-6.8807339090717505,-5.519227141378578,6085.70134211291,5848.02365788709,-0.014393562302969969,-0.023667666516004437,5934.0,6001.75,6036.0,6098.0,6027.0,6098.0,5866.25
17,2024-12-17,2.865,6121.75,0.030554269601447803,0.030096783330412533,181.5,0.01504399161390588,6022.678571428572,6010.891666666666,6025.84,1.0164497287040057,1,17,12,62.240663900414944,4.760600459714624,-3.4632616211599383,6106.020657092403,5836.529342907596,0.003894719580190226,0.01462666777160852,5940.25,5934.0,6001.75,6036.0,6098.0,6121.75,5866.25
18,2024-12-16,2.863,6148.5,0.0043696655368155035,0.004360146268967107,26.75,0.014689881270650261,6040.035714285715,6013.6,6031.595,1.0179575570153914,0,16,12,62.86977218633118,15.960955301814465,0.42158176343494214,6136.289797828668,5823.560202171332,0.018638170974155068,0.028951552171366413,6121.75,5940.25,5934.0,6001.75,6036.0,6148.5,5866.25
19,2024-12-13,2.843,6123.5,-0.0040660323656176445,-0.004074321151159921,-25.0,0.014318006535663218,6043.678571428572,6014.408333333334,6034.8,1.0132074245226712,4,13,12,61.20489904005297,22.55996886412322,4.849259183572598,6155.7119164062315,5817.588083593768,0.02028574998958637,0.022457839372182334,6148.5,6121.75,5940.25,5934.0,6001.75,6148.5,5866.25
20,2024-12-12,2.886,6128.75,0.000857352821099111,0.0008569855041010377,5.25,0.013509071400127526,6056.928571428572,6016.45,6039.85,1.0118577308159487,3,12,12,57.79618293122074,27.891845941554493,9.457776535168978,6171.887580590067,5826.062419409934,0.03281934614088305,0.04190573335033363,6123.5,6148.5,6121.75,5940.25,5934.0,6148.5,5866.25
21,2024-12-11,2.888,6160.75,0.005221293085865719,0.00520770939755064,32.0,0.0130631247002153,6079.642857142857,6018.575,6043.65,1.0133407742466076,2,11,12,62.315713772024445,34.30409327069265,14.427039882273714,6190.1605049171485,5836.414495082852,0.03711964984638694,0.04872755128096008,6128.75,6123.5,6148.5,6121.75,5940.25,6160.75,5866.25
22,2024-12-10,2.872,6114.25,-0.0075477823316966175,-0.007576410986973601,-46.5,0.01240213172925694,6105.392857142857,6020.825,6046.535,1.001450708097642,1,10,12,64.78504672897196,35.22760222348552,18.587152350516078,6193.708478874978,5857.666521125022,-0.0012251398701351739,0.04227572981035585,6160.75,6128.75,6123.5,6148.5,6121.75,6160.75,5916.5
23,2024-12-09,2.862,6133.75,0.0031892709653678075,0.003184196028093059,19.5,0.012333619706809393,6133.035714285715,6020.841666666666,6049.195,1.0001164652787886,0,9,12,64.7982062780269,37.105250522982715,22.290771985009407,6205.238435592589,5865.036564407411,-0.002398959095714402,0.03179275831616132,6114.25,6160.75,6128.75,6123.5,6148.5,6160.75,5916.5
24,2024-12-06,2.868,6099.0,-0.005665375993478716,-0.005681485107656839,-34.75,0.005179543593672349,6129.785714285715,6019.075,6050.595,0.9949776850740528,4,6,12,60.3011384502387,35.38141086563337,24.9088997611342,6210.573688110998,5873.676311889002,-0.004000979831795542,0.023450937617988842,6133.75,6114.25,6160.75,6128.75,6123.5,6160.75,5916.5
